trainPct,selectionStrategy,evaluationMetric,accuracyPct,constructionTime,nodeCount,treeDepth,buyingDepth,maintDepth,doorsDepth,personsDepth,lugBootDepth,safetyDepth
3,TOP_THREE,INFORMATION_GAIN,65.8115,0.1171,63,5,2.00,2.00,2.20,3.00,2.67,0.00
3,TOP_THREE,INFORMATION_GAIN,65.6921,0.148,62,5,0.00,2.00,2.50,2.33,2.00,2.25
3,TOP_THREE,INFORMATION_GAIN,66.9451,0.1334,60,6,3.25,3.50,2.67,1.00,0.00,2.50
3,TOP_THREE,INFORMATION_GAIN,67.8401,0.1265,36,5,2.50,-1.00,1.00,2.00,2.50,0.00
3,TOP_THREE,INFORMATION_GAIN,73.0310,0.1298,52,5,2.33,2.75,3.50,1.00,2.50,0.00
3,TOP_THREE,INFORMATION_GAIN,72.0167,0.1686,75,5,3.00,3.20,1.67,2.83,1.67,0.00
3,TOP_THREE,INFORMATION_GAIN,75.8950,0.1109,49,5,1.67,3.00,2.00,2.33,-1.00,0.00
3,TOP_THREE,INFORMATION_GAIN,61.3365,0.2603,78,6,3.00,2.67,2.75,3.00,2.20,0.00
3,TOP_THREE,INFORMATION_GAIN,73.8067,0.1525,29,4,2.00,3.00,2.00,1.00,2.00,0.00
3,TOP_THREE,GINI_IMPURITY,61.3962,0.1317,51,4,1.75,2.00,3.00,2.00,2.25,0.00
3,TOP_THREE,GINI_IMPURITY,72.1957,0.113,41,4,2.33,2.00,2.00,1.00,2.50,0.00
3,TOP_THREE,GINI_IMPURITY,65.8115,0.1786,41,5,3.50,1.00,1.00,0.00,2.67,2.25
3,TOP_THREE,GINI_IMPURITY,64.5585,0.1103,42,5,0.00,4.00,2.33,1.00,1.67,3.00
3,TOP_THREE,GINI_IMPURITY,60.1432,0.1318,65,5,1.33,3.33,0.00,3.00,1.75,2.00
3,TOP_THREE,GINI_IMPURITY,67.9594,0.1878,48,4,2.20,2.00,1.00,1.00,3.00,0.00
3,TOP_THREE,GINI_IMPURITY,62.5895,0.2436,71,5,0.00,2.50,2.80,1.67,3.00,2.20
3,TOP_THREE,GINI_IMPURITY,61.5752,0.1719,61,5,2.50,0.00,1.33,2.50,1.67,2.20
